serial_number,movie_name,introduction,description,star,evaluate
1,肖申克的救赎,1994/美国/犯罪剧情,希望让人自由。,9.7,1734731人评价
2,霸王别姬,1993/中国大陆中国香港/剧情爱情同性,风华绝代。,9.6,1282217人评价
3,阿甘正传,1994/美国/剧情爱情,一部美国近现代史。,9.5,1338679人评价
4,这个杀手不太冷,1994/法国/剧情动作犯罪,怪蜀黍和小萝莉不得不说的故事。,9.4,1532683人评价
5,泰坦尼克号,1997/美国/剧情爱情灾难,失去的才是永恒的。 ,9.4,1275848人评价
6,美丽人生,1997/意大利/剧情喜剧爱情战争,最美的谎言。,9.5,782018人评价
7,千与千寻,2001/日本/剧情动画奇幻,最好的宫崎骏，最好的久石让。 ,9.3,1366291人评价
8,辛德勒的名单,1993/美国/剧情历史战争,拯救一个人，就是拯救整个世界。,9.5,688417人评价
9,盗梦空间,2010/美国英国/剧情科幻悬疑冒险,诺兰给了我们一场无法盗取的梦。,9.3,1305204人评价
10,忠犬八公的故事,2009/美国英国/剧情,永远都不能忘记你所爱的人。,9.3,884075人评价
11,海上钢琴师,1998/意大利/剧情音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.3,1062147人评价
12,机器人总动员,2008/美国/科幻动画冒险,小瓦力，大人生。,9.3,862643人评价
13,三傻大闹宝莱坞,2009/印度/剧情喜剧爱情歌舞,英俊版憨豆，高情商版谢耳朵。,9.2,1182836人评价
14,楚门的世界,1998/美国/剧情科幻,如果再也不能见到你，祝你早安，午安，晚安。,9.3,931572人评价
15,放牛班的春天,2004/法国瑞士德国/剧情音乐,天籁一般的童声，是最接近上帝的存在。 ,9.3,827614人评价
16,星际穿越,2014/美国英国加拿大冰岛/剧情科幻冒险,爱是一种力量，让我们超越时空感知它的存在。,9.3,949146人评价
17,大话西游之大圣娶亲,1995/中国香港中国大陆/喜剧爱情奇幻古装,一生所爱。,9.2,928169人评价
18,熔炉,2011/韩国/剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,560763人评价
19,龙猫,1988/日本/动画奇幻冒险,人人心中都有个龙猫，童年就永远不会消失。,9.2,803780人评价
